State,Crime Rate,Health Facilities,Police Presence,Hospital Access,Road Condition,Recent Incidents,Risk Level
Kebbi,13616,2630,2,5,1,17,High
Oyo,2290,2542,4,2,1,14,Medium
Kebbi,11346,3385,3,2,2,20,High
Osun,4633,1416,2,2,5,12,Medium
Nasarawa,5267,2900,1,1,3,4,Medium
Kebbi,1379,2814,5,1,1,14,Medium
Oyo,10763,702,1,3,2,8,High
Osun,3959,580,1,3,4,6,Low
Ekiti,2649,2211,1,1,4,15,Medium
Kebbi,2250,1061,4,3,4,20,Medium
Oyo,8387,859,2,1,3,5,Medium
Kogi,10294,2785,5,1,1,10,High
Edo,8928,2714,5,1,5,5,Medium
Jigawa,13151,1242,1,5,2,0,Medium
Kaduna,1377,2321,5,2,2,11,Medium
Anambra,4554,320,3,2,2,2,Low
Lagos,12331,718,3,4,3,6,Medium
Akwa Ibom,6710,3100,5,4,3,15,Medium
Enugu,9399,1838,2,2,3,6,Medium
Kogi,14861,3138,3,1,4,18,High
Niger,13557,2606,3,2,2,15,High
Enugu,8309,1935,5,3,3,19,High
Anambra,10949,1768,4,5,2,11,Medium
Edo,11366,463,4,1,2,16,High
Cross River,10615,1878,3,5,5,11,Medium
Ekiti,1490,669,2,4,3,5,Low
Edo,5019,497,2,3,3,4,Low
Nasarawa,6151,700,1,1,3,10,Medium
Benue,8624,2524,3,5,2,2,Low
Ekiti,5646,2664,2,2,5,3,Low
Kaduna,5555,3133,5,5,1,20,High
Enugu,12176,3297,4,3,3,6,Medium
Benue,1813,3487,4,1,4,8,Low
Enugu,2953,708,4,5,2,10,Low
Kano,7272,1168,5,3,1,0,Low
Kebbi,13833,2558,1,3,4,4,Medium
Ogun,7599,351,5,1,5,10,Medium
Kebbi,1266,484,4,4,1,9,Low
Cross River,6196,3287,3,1,4,17,High
Nasarawa,6131,2222,5,4,1,9,Medium
Kwara,8447,2220,1,5,3,3,Medium
Abia,4670,395,1,1,2,10,Medium
Ondo,12265,3166,4,2,2,2,Medium
Benue,12863,1710,5,1,1,8,High
Osun,13860,376,1,3,1,2,Medium
Cross River,6395,3017,5,3,4,5,Low
Oyo,3257,2589,4,2,1,10,Medium
Ondo,3424,3284,5,4,4,3,Low
Jigawa,9644,1185,5,4,4,8,Medium
Ebonyi,13658,3193,4,1,2,8,High
Nasarawa,5853,3113,1,5,3,7,Medium
Kogi,11602,3211,2,1,1,15,High
Adamawa,4481,253,2,4,4,6,Low
Imo,2712,1594,2,5,5,16,Medium
Ondo,6134,3314,3,2,4,16,High
Anambra,3130,1096,3,4,4,19,Medium
Jigawa,4326,3394,4,1,2,8,Medium
Enugu,3690,3010,3,1,5,4,Low
Gombe,2755,3251,1,1,2,14,High
Bayelsa,5370,317,4,4,5,11,Medium
Cross River,2938,2454,1,4,3,6,Low
Bauchi,7503,2256,4,3,5,1,Low
Gombe,5466,1714,1,4,1,13,High
Benue,5816,975,4,5,2,8,Medium
Jigawa,10952,2221,5,1,4,1,Low
Kebbi,5078,654,2,1,1,1,Medium
Kano,5361,1177,1,1,5,8,Medium
Borno,11161,3065,4,4,4,3,Medium
Borno,13024,3033,3,2,4,5,Medium
Niger,4335,1623,3,3,5,0,Low
Anambra,4032,2261,5,3,4,7,Low
Bayelsa,6162,2991,1,2,2,10,Medium
Osun,8458,780,1,4,4,10,Medium
Abia,3908,1280,1,1,2,19,High
Edo,8763,2588,1,2,4,15,High
Anambra,1740,271,5,2,3,16,Medium
Jigawa,3741,3292,2,1,1,9,Medium
Niger,13061,1574,4,3,4,17,High
Cross River,11869,2192,3,4,3,0,Low
Ogun,6777,1433,3,5,5,15,Medium
Anambra,5422,3008,5,2,1,13,Medium
Ondo,4608,2900,2,4,3,0,Low
Borno,10463,3235,4,2,3,2,Medium
Benue,7189,2816,1,5,3,14,High
Osun,9632,916,3,3,3,12,High
Kano,7836,1331,3,1,2,18,High
Jigawa,12498,1606,5,4,1,14,High
Kano,13984,3445,3,1,3,0,Medium
Imo,12231,802,4,5,2,9,Medium
Katsina,10144,2921,2,4,3,9,Medium
Akwa Ibom,14103,1407,1,1,4,6,High
Delta,14524,2629,1,4,1,9,High
Abia,8050,1642,1,3,1,4,Medium
Edo,5641,3416,5,2,5,2,Low
Kwara,5434,784,2,5,4,2,Low
Delta,4585,331,4,2,3,20,High
Ekiti,7923,1834,1,3,3,19,High
Delta,3839,2509,4,5,3,4,Low
Kogi,13577,1017,3,4,2,17,High
Benue,5932,1449,1,5,3,20,High
Gombe,9942,951,4,1,4,4,Medium
Jigawa,8240,3043,3,3,5,14,Medium
Edo,8006,2110,4,4,4,0,Low
Oyo,10157,308,4,2,1,19,High
Oyo,5954,3422,2,5,5,11,Medium
Bauchi,11172,2425,5,1,3,12,High
Bauchi,7601,2944,1,5,4,14,Medium
Nasarawa,,,,Poor,Poor,,High
FCT (Abuja),,,,Poor,Good,,Low
Plateau,,,,Good,Fair,,Medium
Nasarawa,,,,Poor,Poor,,Low
Benue,,,,Poor,Poor,,Low
Benue,,,,Good,Fair,,High
Jigawa,,,,Poor,Poor,,Low
Adamawa,,,,Good,Poor,,Low
Benue,,,,Good,Good,,Low
FCT (Abuja),,,,Poor,Good,,High
Adamawa,,,,Good,Good,,High
Benue,,,,Poor,Fair,,High
FCT (Abuja),,,,Good,Poor,,Low
Nasarawa,,,,Poor,Fair,,Medium
Adamawa,,,,Average,Fair,,High
FCT (Abuja),,,,Average,Good,,Medium
Benue,,,,Poor,Poor,,Medium
Benue,,,,Good,Fair,,Low
Nasarawa,,,,Good,Poor,,Low
FCT (Abuja),,,,Average,Fair,,Low
FCT (Abuja),,,,Average,Poor,,High
Jigawa,,,,Poor,Good,,High
Jigawa,,,,Poor,Fair,,Low
Jigawa,,,,Good,Good,,Low
FCT (Abuja),,,,Poor,Fair,,High
Nasarawa,,,,Average,Good,,Low
Plateau,,,,Average,Poor,,Low
Nasarawa,,,,Good,Poor,,Low
Plateau,,,,Good,Poor,,Medium
Jigawa,,,,Average,Good,,High
Adamawa,,,,Good,Fair,,Low
Adamawa,,,,Good,Good,,High
Plateau,,,,Poor,Good,,Low
Plateau,,,,Average,Poor,,Low
Jigawa,,,,Poor,Poor,,High
FCT (Abuja),,,,Good,Poor,,Low
Plateau,,,,Average,Fair,,Low
Adamawa,,,,Average,Fair,,Low
Jigawa,,,,Good,Fair,,Low
Adamawa,,,,Good,Good,,High
FCT (Abuja),,,,Average,Fair,,High
Nasarawa,,,,Good,Poor,,High
Nasarawa,,,,Average,Good,,High
Adamawa,,,,Average,Good,,High
Benue,,,,Poor,Poor,,High
Benue,,,,Good,Fair,,High
Plateau,,,,Average,Fair,,Low
Jigawa,,,,Average,Fair,,High
Nasarawa,,,,Poor,Poor,,High
Nasarawa,,,,Poor,Poor,,Low
FCT (Abuja),,,,Poor,Poor,,High
Jigawa,,,,Average,Poor,,High
Jigawa,,,,Good,Poor,,Low
Nasarawa,,,,Good,Good,,Low
Jigawa,,,,Average,Good,,High
Nasarawa,,,,Poor,Poor,,Low
Plateau,,,,Poor,Fair,,High
Jigawa,,,,Average,Poor,,Low
Plateau,,,,Average,Good,,Medium
Benue,,,,Poor,Poor,,High
Nasarawa,,,,Poor,Good,,Low
Nasarawa,,,,Good,Good,,Low
Adamawa,,,,Average,Good,,Low
Jigawa,,,,Good,Poor,,Low
Benue,,,,Average,Fair,,Low
Jigawa,,,,Average,Poor,,Low
Benue,,,,Average,Fair,,Low
FCT (Abuja),,,,Poor,Poor,,High
FCT (Abuja),,,,Poor,Fair,,Low
Benue,,,,Poor,Good,,Medium
Adamawa,,,,Good,Poor,,High
Adamawa,,,,Average,Poor,,High
Nasarawa,,,,Average,Good,,Low
Nasarawa,,,,Average,Poor,,Medium
Plateau,,,,Average,Poor,,Low
FCT (Abuja),,,,Good,Poor,,High
FCT (Abuja),,,,Average,Fair,,High
Jigawa,,,,Average,Fair,,Low
FCT (Abuja),,,,Average,Poor,,High
Plateau,,,,Good,Fair,,Low
Nasarawa,,,,Average,Fair,,High
Benue,,,,Average,Fair,,Low
Benue,,,,Poor,Good,,High
Nasarawa,,,,Good,Poor,,Low
Plateau,,,,Poor,Fair,,Low
Adamawa,,,,Average,Fair,,Low
Nasarawa,,,,Good,Fair,,Low
Nasarawa,,,,Average,Fair,,Low
Benue,,,,Poor,Poor,,Low
Plateau,,,,Good,Good,,Medium
FCT (Abuja),,,,Average,Good,,Medium
Adamawa,,,,Poor,Good,,Low
Nasarawa,,,,Poor,Fair,,Medium
Nasarawa,,,,Good,Good,,Medium
FCT (Abuja),,,,Average,Poor,,Medium
Benue,,,,Average,Fair,,Low
Nasarawa,,,,Poor,Good,,Low
Adamawa,,,,Poor,Poor,,Low
Plateau,,,,Poor,Good,,Medium
Nasarawa,,,,Poor,Fair,,Low
